,Year,Round,Home,Away,Margin,HomeWin%
0,2026,0,Sydney Swans,Carlton,5.6,54.2
1,2026,0,Gold Coast SUNS,Geelong Cats,-10.04,43.0
2,2026,0,GWS GIANTS,Hawthorn,-3.34,47.7
3,2026,0,Brisbane Lions,Western Bulldogs,21.75,64.8
4,2026,0,Euro-Yroke,Collingwood,-8.6,43.8
5,2026,1,Carlton,Richmond,30.66,71.7
6,2026,1,Essendon,Hawthorn,-34.58,24.3
7,2026,1,Western Bulldogs,GWS GIANTS,22.25,66.3
8,2026,1,Geelong Cats,Walyalup,35.04,75.7
9,2026,1,Sydney Swans,Brisbane Lions,-16.25,37.9
10,2026,1,Collingwood,Kuwarna,6.24,54.9
11,2026,1,North Melbourne,Yartapuulti,3.65,52.2
12,2026,1,Narrm,Euro-Yroke,8.68,56.8
13,2026,1,Gold Coast SUNS,Waalitj Marawar,52.85,82.9
14,2026,2,Hawthorn,Sydney Swans,24.57,68.3
15,2026,2,Kuwarna,Western Bulldogs,16.19,61.8
16,2026,2,Richmond,Gold Coast SUNS,-19.49,33.3
17,2026,2,GWS GIANTS,Euro-Yroke,15.73,61.6
18,2026,2,Walyalup,Narrm,20.47,65.1
19,2026,2,Yartapuulti,Essendon,18.53,65.2
20,2026,2,Waalitj Marawar,North Melbourne,-5.41,45.9
21,2026,3,Geelong Cats,Kuwarna,26.86,71.5
22,2026,3,Collingwood,GWS GIANTS,15.05,64.3
23,2026,3,Euro-Yroke,Brisbane Lions,-16.67,36.3
24,2026,3,Walyalup,Richmond,58.38,92.2
25,2026,3,Essendon,North Melbourne,-4.54,46.2
26,2026,3,Yartapuulti,Waalitj Marawar,21.34,69.0
27,2026,3,Carlton,Narrm,-0.6,49.5
28,2026,4,Brisbane Lions,Collingwood,28.16,74.2
29,2026,4,North Melbourne,Carlton,-10.74,39.7
30,2026,4,Kuwarna,Walyalup,18.29,67.6
31,2026,4,Richmond,Yartapuulti,-8.87,40.5
32,2026,4,Waalitj Marawar,Sydney Swans,-31.83,20.3
33,2026,4,Narrm,Gold Coast SUNS,10.86,61.0
34,2026,4,Western Bulldogs,Essendon,50.91,88.9
35,2026,4,Hawthorn,Geelong Cats,3.44,53.0
36,2026,5,Kuwarna,Carlton,34.88,81.3
37,2026,5,Collingwood,Walyalup,5.82,56.4
38,2026,5,North Melbourne,Brisbane Lions,-47.72,11.6
39,2026,5,Essendon,Narrm,-22.03,27.1
40,2026,5,Sydney Swans,Gold Coast SUNS,8.42,59.2
41,2026,5,Hawthorn,Western Bulldogs,17.77,67.3
42,2026,5,Geelong Cats,Waalitj Marawar,63.68,93.8
43,2026,5,GWS GIANTS,Richmond,43.12,86.9
44,2026,5,Yartapuulti,Euro-Yroke,-3.64,46.3
45,2026,6,Carlton,Collingwood,-4.75,44.1
46,2026,6,Geelong Cats,Western Bulldogs,22.0,71.8
47,2026,6,Sydney Swans,GWS GIANTS,18.83,71.1
48,2026,6,Gold Coast SUNS,Essendon,41.62,87.7
49,2026,6,Hawthorn,Yartapuulti,41.77,87.0
50,2026,6,Kuwarna,Euro-Yroke,16.32,68.3
51,2026,6,North Melbourne,Richmond,15.05,65.1
52,2026,6,Narrm,Brisbane Lions,-14.94,32.3
53,2026,6,Waalitj Marawar,Walyalup,-34.76,14.1
54,2026,7,Western Bulldogs,Sydney Swans,21.24,72.2
55,2026,7,Richmond,Narrm,-23.02,26.5
56,2026,7,Hawthorn,Gold Coast SUNS,23.53,73.9
57,2026,7,Essendon,Collingwood,-22.41,25.4
58,2026,7,Yartapuulti,Geelong Cats,-27.48,24.7
59,2026,7,Walyalup,Carlton,33.18,84.2
60,2026,7,Euro-Yroke,Waalitj Marawar,37.18,85.0
61,2026,7,Brisbane Lions,Kuwarna,26.95,76.5
62,2026,7,GWS GIANTS,North Melbourne,20.18,72.2
63,2026,8,Collingwood,Hawthorn,-20.86,26.3
64,2026,8,Western Bulldogs,Walyalup,20.37,72.4
65,2026,8,Kuwarna,Yartapuulti,18.85,70.4
66,2026,8,Essendon,Brisbane Lions,-48.47,6.7
67,2026,8,Waalitj Marawar,Richmond,15.03,68.5
68,2026,8,Geelong Cats,North Melbourne,42.31,86.5
69,2026,8,Carlton,Euro-Yroke,5.0,55.7
70,2026,8,Sydney Swans,Narrm,38.73,84.2
71,2026,8,Gold Coast SUNS,GWS GIANTS,13.6,65.2
72,2026,9,Walyalup,Hawthorn,0.57,50.6
73,2026,9,Brisbane Lions,Carlton,43.11,88.7
74,2026,9,Yartapuulti,Western Bulldogs,-1.23,48.6
75,2026,9,North Melbourne,Sydney Swans,-19.2,31.6
76,2026,9,GWS GIANTS,Essendon,25.85,76.9
77,2026,9,Gold Coast SUNS,Euro-Yroke,15.28,66.0
78,2026,9,Geelong Cats,Collingwood,23.17,74.3
79,2026,9,Narrm,Waalitj Marawar,43.34,86.9
80,2026,9,Richmond,Kuwarna,-30.76,18.8
81,2026,10,Brisbane Lions,Geelong Cats,12.39,62.6
82,2026,10,Sydney Swans,Collingwood,28.22,78.7
83,2026,10,Gold Coast SUNS,Yartapuulti,20.9,72.3
84,2026,10,Kuwarna,North Melbourne,27.92,79.7
85,2026,10,Narrm,Hawthorn,-7.15,42.6
86,2026,10,Carlton,Western Bulldogs,-10.54,38.4
87,2026,10,Essendon,Walyalup,-13.75,34.4
88,2026,10,Euro-Yroke,Richmond,40.09,88.0
89,2026,10,Waalitj Marawar,GWS GIANTS,-28.97,16.9
90,2026,11,Hawthorn,Kuwarna,19.96,69.9
91,2026,11,Richmond,Essendon,-8.52,39.3
92,2026,11,Walyalup,Euro-Yroke,26.13,79.1
93,2026,11,North Melbourne,Gold Coast SUNS,-13.65,36.3
94,2026,11,Geelong Cats,Sydney Swans,22.26,73.7
95,2026,11,Collingwood,Waalitj Marawar,42.88,88.7
96,2026,11,Yartapuulti,Carlton,15.98,69.0
97,2026,11,GWS GIANTS,Brisbane Lions,-11.72,36.6
98,2026,11,Western Bulldogs,Narrm,19.6,70.8
99,2026,12,Euro-Yroke,Hawthorn,-13.53,33.4
100,2026,12,Carlton,Geelong Cats,-21.42,28.7
101,2026,12,Sydney Swans,Richmond,60.54,96.7
102,2026,12,Brisbane Lions,Walyalup,20.27,70.8
103,2026,12,Western Bulldogs,Collingwood,8.6,59.3
104,2026,12,Narrm,GWS GIANTS,8.07,59.1
105,2026,12,Waalitj Marawar,Essendon,5.36,56.9
