,Year,Round,Home,Away,Margin,HomeWin%
0,2021,1,Richmond,Carlton,16.87,64.1
1,2021,1,Collingwood,Western Bulldogs,-1.48,48.7
2,2021,1,Melbourne,Fremantle,14.71,62.4
3,2021,1,Adelaide Crows,Geelong Cats,-13.12,38.9
4,2021,1,Essendon,Hawthorn,-2.74,47.7
5,2021,1,Brisbane Lions,Sydney Swans,37.42,78.8
6,2021,1,North Melbourne,Port Adelaide,-20.48,33.0
7,2021,1,GWS Giants,St Kilda,-4.22,46.4
8,2021,1,West Coast Eagles,Gold Coast Suns,22.18,68.3
9,2021,2,Carlton,Collingwood,-3.52,46.8
10,2021,2,Geelong Cats,Brisbane Lions,7.96,57.3
11,2021,2,Sydney Swans,Adelaide Crows,4.59,54.2
12,2021,2,Port Adelaide,Essendon,26.69,73.0
13,2021,2,St Kilda,Melbourne,-0.09,49.9
14,2021,2,Gold Coast Suns,North Melbourne,12.85,61.6
15,2021,2,Hawthorn,Richmond,-22.46,30.3
16,2021,2,Western Bulldogs,West Coast Eagles,8.08,57.4
17,2021,2,Fremantle,GWS Giants,0.83,50.8
18,2021,3,Collingwood,Brisbane Lions,-2.9,47.1
19,2021,3,North Melbourne,Western Bulldogs,-29.44,23.3
20,2021,3,Adelaide Crows,Gold Coast Suns,12.18,61.8
21,2021,3,Richmond,Sydney Swans,32.61,79.0
22,2021,3,Essendon,St Kilda,-1.52,48.5
23,2021,3,West Coast Eagles,Port Adelaide,2.02,52.0
24,2021,3,Carlton,Fremantle,7.78,57.6
25,2021,3,GWS Giants,Melbourne,-3.38,46.7
26,2021,3,Geelong Cats,Hawthorn,21.73,70.4
27,2021,4,Sydney Swans,Essendon,10.71,61.3
28,2021,4,Port Adelaide,Richmond,-0.33,49.6
29,2021,4,Western Bulldogs,Brisbane Lions,5.17,55.5
30,2021,4,St Kilda,West Coast Eagles,-2.69,47.1
31,2021,4,Gold Coast Suns,Carlton,-1.41,48.5
32,2021,4,Collingwood,GWS Giants,14.62,65.2
33,2021,4,North Melbourne,Adelaide Crows,-17.61,31.9
34,2021,4,Melbourne,Geelong Cats,-4.36,45.3
35,2021,4,Fremantle,Hawthorn,6.17,56.6
36,2021,5,St Kilda,Richmond,-16.32,31.7
37,2021,5,West Coast Eagles,Collingwood,14.08,66.0
38,2021,5,Western Bulldogs,Gold Coast Suns,29.66,80.7
39,2021,5,Sydney Swans,GWS Giants,2.9,53.4
40,2021,5,Carlton,Port Adelaide,-0.36,49.6
41,2021,5,Brisbane Lions,Essendon,27.66,79.0
42,2021,5,Adelaide Crows,Fremantle,11.6,63.3
43,2021,5,Hawthorn,Melbourne,-14.95,33.1
44,2021,5,Geelong Cats,North Melbourne,33.64,83.7
45,2021,6,GWS Giants,Western Bulldogs,-13.73,32.9
46,2021,6,Geelong Cats,West Coast Eagles,13.81,67.2
47,2021,6,Gold Coast Suns,Sydney Swans,-5.34,43.2
48,2021,6,Carlton,Brisbane Lions,-2.34,47.0
49,2021,6,Melbourne,Richmond,-2.97,46.2
50,2021,6,Fremantle,North Melbourne,28.23,81.8
51,2021,6,Hawthorn,Adelaide Crows,-1.69,47.8
52,2021,6,Collingwood,Essendon,12.99,66.2
53,2021,6,Port Adelaide,St Kilda,21.32,75.3
54,2021,7,Richmond,Western Bulldogs,4.71,56.0
55,2021,7,Collingwood,Gold Coast Suns,17.66,71.5
56,2021,7,Adelaide Crows,GWS Giants,11.3,64.2
57,2021,7,St Kilda,Hawthorn,4.5,55.8
58,2021,7,Brisbane Lions,Port Adelaide,11.39,64.3
59,2021,7,Sydney Swans,Geelong Cats,-9.02,38.6
60,2021,7,North Melbourne,Melbourne,-37.93,11.2
61,2021,7,Essendon,Carlton,-8.86,38.8
62,2021,7,West Coast Eagles,Fremantle,5.76,57.3
63,2021,8,Richmond,Geelong Cats,8.92,61.3
64,2021,8,Gold Coast Suns,St Kilda,4.59,55.9
65,2021,8,GWS Giants,Essendon,5.8,57.4
66,2021,8,North Melbourne,Collingwood,-22.3,23.7
67,2021,8,Melbourne,Sydney Swans,23.61,77.6
68,2021,8,Port Adelaide,Adelaide Crows,5.89,57.5
69,2021,8,Hawthorn,West Coast Eagles,-5.86,42.5
70,2021,8,Western Bulldogs,Carlton,7.68,59.8
71,2021,8,Brisbane Lions,Fremantle,29.5,82.8
72,2021,9,St Kilda,Geelong Cats,-15.09,31.4
73,2021,9,Sydney Swans,Collingwood,8.49,60.8
74,2021,9,Hawthorn,North Melbourne,15.01,68.5
75,2021,9,Gold Coast Suns,Brisbane Lions,-26.88,19.4
76,2021,9,Richmond,GWS Giants,24.74,78.7
77,2021,9,Port Adelaide,Western Bulldogs,1.66,52.1
78,2021,9,Essendon,Fremantle,3.07,53.9
79,2021,9,Melbourne,Carlton,4.19,55.4
80,2021,9,West Coast Eagles,Adelaide Crows,29.86,83.1
81,2021,10,Brisbane Lions,Richmond,14.26,67.9
82,2021,10,Carlton,Hawthorn,19.42,73.6
83,2021,10,Geelong Cats,Gold Coast Suns,28.29,82.7
84,2021,10,Adelaide Crows,Melbourne,-7.38,40.4
85,2021,10,Western Bulldogs,St Kilda,14.37,67.2
86,2021,10,Fremantle,Sydney Swans,3.55,54.7
87,2021,10,GWS Giants,West Coast Eagles,-3.32,45.8
88,2021,10,Collingwood,Port Adelaide,-2.95,46.0
89,2021,10,Essendon,North Melbourne,11.93,64.9
90,2021,11,Western Bulldogs,Melbourne,7.36,59.0
91,2021,11,Collingwood,Geelong Cats,-13.02,33.2
92,2021,11,Brisbane Lions,GWS Giants,31.92,84.8
93,2021,11,St Kilda,North Melbourne,19.76,73.3
94,2021,11,Gold Coast Suns,Hawthorn,3.47,54.6
95,2021,11,West Coast Eagles,Essendon,24.2,78.4
96,2021,11,Richmond,Adelaide Crows,17.89,71.8
97,2021,11,Sydney Swans,Carlton,-1.55,48.0
98,2021,11,Port Adelaide,Fremantle,20.08,75.3
99,2021,12,Melbourne,Brisbane Lions,-10.11,36.9
100,2021,12,Sydney Swans,St Kilda,6.42,58.1
101,2021,12,Adelaide Crows,Collingwood,8.49,60.9
102,2021,12,Essendon,Richmond,-9.74,37.9
103,2021,12,Carlton,West Coast Eagles,16.45,69.5
104,2021,12,Fremantle,Western Bulldogs,-10.99,36.3
105,2021,13,Port Adelaide,Geelong Cats,7.43,59.7
106,2021,13,Sydney Swans,Hawthorn,13.67,66.8
107,2021,13,Fremantle,Gold Coast Suns,8.45,60.9
108,2021,13,St Kilda,Adelaide Crows,5.34,56.7
109,2021,13,North Melbourne,GWS Giants,-15.93,30.6
110,2021,13,West Coast Eagles,Richmond,3.0,53.8
111,2021,13,Melbourne,Collingwood,23.75,77.9
112,2021,14,West Coast Eagles,Richmond,3.0,53.8
113,2021,14,Geelong Cats,Western Bulldogs,-4.41,44.6
114,2021,14,Gold Coast Suns,Port Adelaide,-3.15,45.8
115,2021,14,North Melbourne,Brisbane Lions,-30.97,16.7
116,2021,14,GWS Giants,Carlton,-2.99,46.2
117,2021,14,Hawthorn,Essendon,-12.78,34.6
118,2021,15,Brisbane Lions,Geelong Cats,20.310666666666666,70.89999999999999
119,2021,15,Richmond,St Kilda,17.835,68.06666666666666
120,2021,15,North Melbourne,Gold Coast Suns,-20.101,27.800000000000004
121,2021,15,Collingwood,Fremantle,10.632,62.16666666666667
122,2021,15,Essendon,Melbourne,-9.016333333333334,39.2
123,2021,15,Port Adelaide,Sydney Swans,18.061,69.76666666666667
